FECHA_CORTE,COD_PROVEEDOR,COD_MATERIAL,COD_PROYECTO,STOCK_REAL_DISPONIBLE,MONTO_EJECUTADO_SLES,ESTADO_LIQUIDACION
2026-04-01,PRV-007,MAT-107,PRY-CEN-08,120,102637.86,Liquidado
2026-04-02,PRV-004,MAT-111,PRY-VAL-04,1375,19905.08,Pendiente
2026-04-03,PRV-004,MAT-103,PRY-SJU-09,1020,18181.86,Liquidado
2026-04-04,PRV-007,MAT-102,PRY-ALP-06,1286,50517.77,Liquidado
2026-04-08,PRV-005,MAT-108,PRY-ALP-06,343,58676.24,Liquidado
2026-04-09,PRV-007,MAT-110,PRY-CEN-08,1093,41455.05,Liquidado
2026-04-10,PRV-010,MAT-112,PRY-MAG-01,1189,60155.25,Liquidado
2026-04-11,PRV-010,MAT-110,PRY-MAG-01,181,98198.7,Liquidado
2026-04-12,PRV-004,MAT-102,PRY-CHOR-10,1424,125432.89,Liquidado
2026-04-13,PRV-005,MAT-102,PRY-VAL-04,1171,132073.31,Pendiente
2026-04-14,PRV-002,MAT-115,PRY-CHOR-10,514,88943.26,Liquidado
2026-04-15,PRV-006,MAT-109,PRY-CEN-08,861,14028.53,Pendiente
2026-04-16,PRV-001,MAT-103,PRY-ALP-06,853,121324.1,Liquidado
2026-04-19,PRV-004,MAT-103,PRY-SJU-09,961,12281.67,Liquidado
2026-04-21,PRV-003,MAT-101,PRY-MNT-05,756,135352.32,Liquidado
2026-04-22,PRV-010,MAT-109,PRY-LCE-02,798,135428.19,Liquidado
2026-04-24,PRV-010,MAT-114,PRY-SJU-09,883,125432.53,Pendiente
2026-04-24,PRV-008,MAT-111,PRY-VAL-04,1056,73612.0,Liquidado
2026-04-24,PRV-009,MAT-112,PRY-PAR-07,1158,6402.11,Liquidado
2026-04-27,PRV-007,MAT-115,PRY-CHOR-10,408,109160.16,Pendiente
2026-04-28,PRV-006,MAT-115,PRY-LCE-02,29,71451.4,Liquidado
2026-04-29,PRV-003,MAT-101,PRY-MNT-05,786,52466.14,Pendiente
2026-05-05,PRV-004,MAT-105,PRY-PAR-07,1004,9208.6,Pendiente
2026-05-07,PRV-007,MAT-104,PRY-SUR-03,1353,104705.25,Liquidado
2026-05-09,PRV-003,MAT-109,PRY-LCE-02,1290,48274.49,Liquidado
2026-05-10,PRV-008,MAT-105,PRY-MAG-01,199,96971.24,Pendiente
2026-05-14,PRV-008,MAT-111,PRY-VAL-04,572,68781.53,Pendiente
2026-05-18,PRV-008,MAT-103,PRY-PAR-07,385,45389.05,Liquidado
2026-05-22,PRV-003,MAT-104,PRY-PAR-07,1371,141352.73,Liquidado
2026-05-24,PRV-009,MAT-105,PRY-CHOR-10,887,135184.32,Pendiente
2026-05-25,PRV-004,MAT-108,PRY-MNT-05,765,29329.43,Liquidado
2026-05-31,PRV-004,MAT-101,PRY-LCE-02,1459,96509.93,Liquidado
2026-06-03,PRV-006,MAT-108,PRY-MAG-01,239,139719.3,Pendiente
2026-06-04,PRV-004,MAT-112,PRY-ALP-06,426,104687.08,Pendiente
2026-06-06,PRV-009,MAT-101,PRY-SJU-09,623,140104.63,Liquidado
2026-06-07,PRV-010,MAT-105,PRY-PAR-07,1132,125890.15,Pendiente
2026-06-08,PRV-003,MAT-115,PRY-VAL-04,342,146549.87,Liquidado
2026-06-08,PRV-002,MAT-107,PRY-CHOR-10,1167,80803.49,Pendiente
2026-06-10,PRV-010,MAT-115,PRY-ALP-06,1192,32881.85,Liquidado
2026-06-13,PRV-002,MAT-101,PRY-MNT-05,511,37365.56,Liquidado
2026-06-18,PRV-002,MAT-105,PRY-SJU-09,1369,96776.42,Pendiente
2026-06-21,PRV-007,MAT-112,PRY-SUR-03,967,138333.53,Liquidado
2026-06-21,PRV-008,MAT-104,PRY-SJU-09,280,109886.12,Pendiente
2026-06-21,PRV-005,MAT-112,PRY-LCE-02,1257,97071.85,Liquidado
2026-06-23,PRV-009,MAT-102,PRY-CHOR-10,874,9608.49,Liquidado
2026-06-24,PRV-002,MAT-111,PRY-SJU-09,556,116446.82,Pendiente
2026-06-25,PRV-006,MAT-114,PRY-MAG-01,479,124161.38,Pendiente
2026-06-26,PRV-003,MAT-109,PRY-MAG-01,766,89463.89,Liquidado
2026-06-28,PRV-007,MAT-106,PRY-MNT-05,328,36220.5,Pendiente
